renda_mensal,divida_atual,historico_pagamentos,idade,num_dependentes,inadimplente
2598.67,134.37,87,46,0,1
1623.39,434.33,83,33,4,0
3340.69,669.7,76,78,5,0
3423.32,299.64,63,54,3,0
6781.0,1116.33,76,24,3,1
4951.44,853.5,75,64,4,0
3716.32,592.67,78,20,2,1
7218.12,3361.49,100,36,2,0
1470.14,272.32,67,66,3,1
2043.7,333.97,81,51,1,1
1720.59,0.0,91,68,0,0
2374.36,156.4,76,56,3,0
1313.38,210.85,100,74,4,1
4391.64,426.53,69,55,0,0
2625.52,1069.26,80,21,1,0
1241.26,217.54,63,22,1,0
1631.12,641.47,70,70,4,1
3620.89,757.69,79,20,3,1
4960.41,1019.78,88,43,3,0
9940.83,1855.76,80,19,3,1
17234.79,3456.77,94,38,1,0
3846.86,1761.17,74,57,4,1
1656.8,0.0,70,29,0,0
834.76,0.0,100,49,0,0
3522.74,417.53,81,84,4,0
1841.99,372.41,64,22,3,1
2338.24,709.69,65,22,1,0
2077.89,563.03,61,36,2,1
2756.99,392.49,89,73,0,0
5687.1,2006.73,70,45,4,0
3296.43,1168.68,77,60,4,1
2727.63,620.83,74,20,1,1
1611.59,555.03,86,67,2,1
1098.34,264.59,62,22,1,1
2240.79,259.43,59,65,2,1
2904.74,884.99,78,27,1,0
8665.68,1876.92,84,75,1,0
3243.9,649.43,80,37,2,1
5410.04,2277.32,63,30,5,1
2223.39,0.0,85,40,4,0
1473.51,0.0,64,18,1,0
1681.26,36.89,67,29,5,1
1941.53,282.51,61,58,1,0
10758.48,1740.82,95,38,5,0
1832.68,0.0,85,41,1,1
4961.49,259.12,84,72,3,0
1745.18,123.69,94,26,1,0
5246.47,2983.21,100,44,4,0
3779.47,1777.34,49,30,1,1
2730.9,377.51,64,50,5,0
2927.52,425.84,66,40,0,0
2025.34,55.94,62,21,3,0
3920.64,0.0,59,22,0,0
2283.3,416.63,71,75,5,0
1437.99,72.36,57,21,2,0
1393.54,260.97,80,70,4,1
3327.31,0.0,76,79,5,0
7737.41,663.13,82,49,3,1
3302.26,734.07,83,38,0,1
2793.87,712.25,84,70,1,0
3561.24,935.26,69,83,1,1
6568.03,12.65,100,26,5,0
3422.06,1123.13,79,82,5,1
2344.46,187.48,47,81,2,0
5826.32,1718.35,60,27,5,0
3880.12,769.83,49,21,1,1
7538.82,0.0,75,65,4,1
3348.64,510.9,73,23,2,0
1438.97,366.66,68,58,1,0
1320.11,385.4,100,22,1,1
8078.2,1444.8,83,64,2,0
8438.56,3626.61,86,33,2,0
2693.66,945.82,61,24,1,1
2383.81,384.99,60,22,2,0
7210.07,2253.28,76,30,0,0
1544.01,756.67,78,54,5,1
1753.78,866.49,47,23,2,1
4413.24,69.73,72,71,0,0
2367.53,144.47,75,58,3,0
2990.79,1264.32,72,37,5,0
2719.77,112.21,63,84,2,0
3673.54,5.95,67,62,5,0
6980.37,887.0,72,63,3,0
3167.57,833.18,76,29,4,0
4414.86,815.16,84,65,1,1
876.79,89.8,91,55,0,1
2913.58,288.06,71,83,2,0
1808.82,168.49,68,50,5,0
1443.87,98.29,82,63,4,0
1771.31,960.48,84,40,4,1
2455.03,600.57,68,20,5,1
5197.38,1730.8,87,26,2,1
1353.61,171.42,90,76,1,0
3055.65,525.9,94,67,5,1
2243.66,208.59,100,42,3,0
2464.55,0.0,62,64,1,1
5475.41,0.0,75,18,1,0
4143.25,0.0,75,20,5,0
6692.93,0.0,74,51,0,0
2734.39,56.59,65,59,0,0
1975.94,787.89,53,80,4,1
2622.94,507.1,76,68,0,1
3469.85,1365.68,63,35,1,1
3335.28,872.67,76,72,5,0
1565.15,496.75,63,50,2,0
3167.38,205.45,59,73,4,0
3440.27,958.43,79,29,2,1
13586.77,4202.48,77,19,0,0
9250.88,1050.0,84,21,1,0
1797.98,510.5,100,84,4,0
2524.85,719.4,79,23,0,0
1246.76,146.58,82,80,3,0
2104.73,66.48,59,66,2,0
3625.44,81.14,56,27,2,0
6184.98,1317.25,99,75,5,1
1937.04,482.42,61,27,3,1
2026.12,164.36,59,27,3,0
827.16,168.73,74,56,2,1
2721.04,777.08,74,37,2,0
1585.92,464.24,61,37,4,0
2183.54,945.0,70,31,0,1
1772.69,694.09,93,58,1,0
2835.04,141.2,63,19,3,0
1044.96,472.88,54,34,3,0
1244.07,149.73,89,55,0,1
10763.5,3839.67,82,50,4,0
1385.64,291.26,66,64,3,0
1553.55,214.67,51,32,1,0
9031.88,0.0,64,61,4,0
17144.07,2987.62,74,68,5,0
1485.38,0.0,92,43,2,0
2405.27,830.05,59,35,1,1
3682.33,1574.27,74,55,1,1
8464.08,681.05,85,56,3,1
1659.47,407.06,39,24,0,1
2589.45,236.14,91,55,2,0
4782.75,505.67,57,28,0,1
3894.14,1231.23,80,56,0,0
2393.89,464.94,79,80,2,0
2768.54,1276.15,91,53,4,0
1314.79,167.85,83,69,5,1
2600.51,909.92,39,38,0,0
2556.86,548.73,63,79,1,1
3448.41,1101.31,77,72,2,1
2149.89,285.78,72,79,3,0
3981.01,766.61,82,67,5,1
5508.22,1006.22,87,61,4,1
3293.23,245.65,84,53,3,1
3704.94,1108.93,72,80,0,0
3097.22,921.54,47,74,0,0
3000.15,867.14,68,45,0,1
1945.81,837.76,81,23,3,1
3627.37,1514.07,59,18,1,1
2829.9,406.82,84,33,1,1
10533.0,2696.0,89,22,4,0
7710.83,820.89,77,32,4,0
3781.5,769.55,29,25,2,0
1897.96,208.85,56,83,5,0
1539.05,681.82,100,24,4,1
6130.63,1560.58,67,60,4,0
3512.27,587.59,45,41,5,1
4001.62,1516.79,94,29,1,1
1053.23,0.0,75,64,4,0
5233.47,0.0,92,83,5,1
3940.33,1258.45,79,70,5,0
1540.88,322.15,82,83,3,0
2260.75,537.08,80,57,4,0
3514.31,3.66,85,63,5,0
3095.94,608.4,100,27,5,0
2517.61,1260.13,90,75,5,0
2819.39,912.44,51,68,4,1
2579.06,581.46,82,35,2,0
3287.57,441.0,92,41,4,0
7253.67,1021.42,93,58,2,0
643.15,0.0,69,18,4,0
2602.58,621.1,92,72,4,1
3335.16,1090.01,89,36,5,1
3583.03,0.0,100,23,3,0
2399.99,241.89,64,40,2,1
1045.59,27.58,67,73,0,0
3652.49,201.61,70,36,3,0
8457.24,1759.29,68,54,3,1
1195.18,0.0,62,72,3,0
5037.5,1471.66,34,20,4,1
2463.29,771.2,68,68,5,0
2891.62,469.41,81,37,0,1
1595.0,0.0,68,64,2,0
2454.54,124.05,100,30,4,0
6544.59,2519.24,75,27,4,0
4255.47,0.0,94,70,4,1
8482.45,1254.31,79,72,4,0
6080.33,139.85,87,83,5,0
3904.24,1252.03,79,63,5,1
8541.81,843.36,96,49,3,0
3904.03,1017.36,76,31,1,0
4930.33,1404.25,82,37,3,0
2510.97,1193.8,80,61,4,1
3122.21,529.4,71,41,0,1
1974.19,506.2,81,50,4,0
5432.3,0.0,100,29,3,0
1479.39,560.04,71,47,5,1
4797.15,412.19,81,33,1,0
2675.73,310.08,94,25,5,0
6057.88,1191.36,92,26,2,0
4707.39,0.0,75,52,3,0
8944.15,2095.75,39,42,3,1
4650.98,1605.15,83,24,3,1
1168.11,284.95,42,52,5,0
2881.87,0.0,97,29,1,0
1484.99,269.42,78,19,4,0
2198.21,684.31,90,26,5,0
7428.69,0.0,61,48,1,0
4397.92,170.57,52,81,1,1
1972.41,653.82,79,34,2,1
1632.94,392.75,74,37,4,0
3059.59,800.99,68,34,5,0
1445.82,692.44,76,41,4,0
2005.57,542.07,100,66,4,1
3617.63,1080.53,88,39,2,0
6000.24,3639.82,91,62,3,1
4322.65,725.9,88,78,1,0
758.69,60.94,97,81,2,1
3601.07,951.29,72,55,1,0
3132.5,832.77,44,65,0,1
3845.66,465.3,72,79,5,1
7911.66,357.14,87,70,4,0
869.94,475.4,60,38,3,1
2104.23,524.01,72,26,0,1
4276.59,385.57,65,25,0,1
1161.43,391.85,98,77,0,0
7273.09,1335.54,86,55,4,1
3742.02,606.46,85,37,1,1
4985.64,1417.62,84,41,1,0
2129.84,13.24,74,36,5,0
4888.43,1236.26,78,71,5,0
5695.61,2773.44,57,59,4,1
3449.88,931.21,42,76,1,1
3453.03,495.75,77,38,3,1
3528.31,437.28,80,49,1,1
1787.12,247.42,93,26,5,1
2745.86,444.57,99,83,0,0
2737.65,392.38,99,52,4,0
3775.94,1274.18,60,55,3,0
5465.78,0.0,70,45,4,0
1589.61,523.46,82,36,2,0
2783.22,398.13,100,81,0,0
7297.16,1872.03,97,50,4,0
1920.26,59.44,92,63,3,0
1831.73,731.4,69,20,2,1
3387.17,1310.31,62,36,2,1
4979.07,1712.49,87,71,2,1
3020.64,0.0,58,23,2,0
6659.13,2160.01,71,24,1,0
5016.28,1307.89,73,72,1,0
4971.41,0.0,99,38,1,0
4183.22,821.4,70,36,0,0
12124.21,3087.8,38,55,5,1
2652.53,751.76,83,31,1,0
901.68,204.31,65,20,0,0
7855.11,1914.17,76,18,0,1
2279.58,959.8,74,23,5,0
3200.61,1228.73,71,28,2,0
6582.03,0.0,87,64,1,0
1147.12,174.8,52,37,2,0
1415.7,248.18,67,22,0,0
1147.8,0.0,85,18,1,0
1862.89,398.9,66,49,1,1
3905.53,1512.67,51,74,4,1
4108.78,152.09,85,40,0,1
3540.89,886.85,92,22,2,0
1285.25,80.49,74,33,4,0
750.17,74.43,46,51,5,0
3099.45,1306.76,86,30,3,1
2260.41,268.12,50,83,1,0
3952.09,1064.42,80,69,2,1
4571.24,0.0,62,41,1,1
3259.45,1562.41,58,81,3,1
4733.63,1374.64,68,39,1,0
3442.3,594.23,72,27,3,0
4123.29,1180.63,65,80,3,1
1965.62,0.0,84,82,5,0
2693.51,1016.48,68,38,2,1
3375.95,511.13,90,57,5,0
4908.31,831.42,79,29,2,1
2368.76,299.06,65,60,4,0
4101.34,463.05,62,64,3,0
2557.7,778.05,50,65,4,1
2795.71,666.46,79,56,2,1
4934.86,1469.41,70,65,4,0
907.35,180.27,39,55,2,0
1378.13,381.71,67,72,2,1
1232.82,169.11,61,30,2,0
739.67,395.32,99,50,4,0
1997.02,0.0,49,45,3,0
4703.34,1830.26,53,53,0,0
2528.64,1024.57,92,27,4,1
3378.01,243.81,95,39,4,0
5766.95,3081.81,64,81,0,1
6654.04,2324.41,66,25,5,1
2878.1,994.88,84,60,3,0
6758.25,1380.06,40,62,0,0
3170.5,530.79,47,49,2,0
1815.16,306.02,71,20,5,0
2100.07,543.04,98,20,1,1
1234.04,506.18,68,36,5,1
1760.74,400.04,77,24,2,1
2420.08,153.15,92,24,1,0
4858.66,1572.57,100,28,2,0
8423.91,2848.74,66,30,3,0
1309.05,390.36,75,74,4,0
3797.37,1184.11,100,60,5,1
1606.87,256.07,52,20,1,0
3988.56,241.91,90,60,5,0
2773.08,193.48,60,27,3,0
1000.07,0.0,77,46,0,0
5236.17,1233.34,71,20,5,1
2086.76,391.23,61,24,2,0
2177.71,291.82,60,26,3,1
1578.95,0.0,79,47,4,0
2025.96,26.14,90,49,0,0
3878.1,1427.63,73,41,1,0
2677.99,268.62,76,59,4,0
3653.95,928.43,84,66,1,0
3727.6,0.0,60,66,0,1
6626.05,2755.15,86,56,0,1
2442.3,435.7,87,54,4,1
1236.76,301.16,100,50,0,0
5691.34,3123.79,69,33,0,1
2458.91,1051.1,68,50,3,0
5855.42,901.82,87,18,0,1
3775.9,419.19,87,82,3,1
2773.0,419.19,67,42,3,0
3698.32,1022.53,69,68,3,0
9671.85,1781.71,83,82,2,0
10431.19,1467.81,63,51,4,0
3127.52,1313.8,69,75,3,1
3302.65,603.95,76,50,2,0
5722.22,3118.26,90,26,0,1
1806.18,385.82,66,19,1,1
3663.63,1713.84,47,27,0,1
2953.81,749.08,46,81,0,0
3621.75,1247.49,56,49,1,1
1819.55,166.14,55,39,1,0
1155.89,83.15,73,47,0,0
864.87,232.61,57,35,1,0
1534.47,534.43,64,76,3,1
2278.25,469.41,63,84,1,0
2516.07,17.72,68,23,1,0
9592.21,0.0,95,66,0,0
5825.29,0.0,85,40,0,0
1684.31,0.0,75,21,0,1
3695.95,799.89,68,79,2,1
2349.88,866.53,69,22,3,0
2529.43,500.8,80,31,4,0
3352.84,0.0,84,19,3,0
4349.74,745.48,61,49,3,1
2447.48,429.73,76,58,5,0
5679.84,2921.71,45,39,1,1
1512.02,0.0,78,22,4,0
3011.43,425.81,86,25,5,0
14256.55,6499.25,71,80,3,1
3429.66,917.42,100,71,5,0
7088.98,2016.79,62,80,0,1
3169.34,688.34,78,53,5,0
4250.68,1060.51,74,54,3,1
2899.51,918.1,73,70,1,0
2708.43,212.82,73,59,0,0
1879.34,623.39,77,47,4,0
3883.72,0.0,88,37,2,1
1799.83,448.62,96,50,1,0
4472.57,1014.43,75,22,2,0
5753.36,618.81,87,30,5,0
3737.93,734.87,64,67,2,1
2526.57,269.38,86,76,0,0
3939.26,154.6,64,24,1,1
2492.8,366.34,91,24,0,0
5259.0,180.92,100,23,4,0
999.77,248.36,73,71,4,1
2452.84,67.42,42,38,5,0
908.58,278.75,67,39,3,0
1223.33,27.87,93,18,4,0
6800.05,782.38,83,83,2,0
5133.17,545.7,79,47,3,1
1948.24,776.9,90,71,0,1
1217.88,303.91,82,65,3,0
506.56,85.22,93,27,3,1
2165.2,595.01,89,71,0,0
12818.14,0.0,98,54,3,0
3894.41,753.69,80,58,4,0
2144.42,1071.41,89,31,2,1
3965.61,871.85,70,74,3,0
1175.9,247.16,66,80,1,0
2509.84,708.33,100,45,1,0
3184.51,1064.71,78,24,0,0
2848.95,0.0,87,74,1,0
4821.55,0.0,77,77,4,0
3689.16,854.2,66,51,5,0
4479.93,415.6,75,56,3,0
1984.94,787.63,97,32,3,0
5141.28,785.2,83,22,3,0
7972.31,0.0,49,81,2,0
1676.19,16.42,72,50,2,0
1761.2,0.0,100,36,3,0
6686.45,1102.47,72,64,4,1
2674.62,459.35,48,19,2,1
6965.05,949.55,100,23,3,0
2300.42,832.37,85,34,2,1
7182.44,2727.73,74,48,1,1
3246.26,566.28,69,42,1,1
3502.75,0.0,91,30,0,0
7670.97,2244.47,67,41,2,0
2414.64,684.08,92,40,4,0
1705.64,420.28,83,53,4,0
2292.11,795.87,79,55,5,0
3935.4,99.47,77,77,0,0
1172.52,587.8,72,72,4,1
4397.76,246.65,91,37,4,0
2171.35,678.29,62,78,2,1
5973.3,0.0,51,52,1,1
713.24,43.12,84,30,2,0
1871.37,799.93,84,40,4,0
1090.6,175.44,82,67,5,0
1827.36,595.7,81,73,3,0
3480.62,819.84,70,43,3,0
2694.13,496.41,87,28,3,0
2576.9,1042.56,74,30,0,1
2726.73,448.55,68,24,3,1
3389.37,0.0,70,64,0,0
1638.02,130.25,100,51,5,0
4584.69,1295.99,49,48,5,1
4464.74,1157.82,82,63,3,1
3779.66,0.0,50,73,2,0
4189.29,382.69,73,71,4,0
3583.94,404.06,68,27,3,0
10172.18,1476.79,44,57,4,1
2847.26,0.0,81,77,3,0
2495.18,263.85,69,69,1,0
1908.84,173.15,44,40,0,0
1614.87,509.86,88,44,1,1
1421.81,456.92,97,77,3,1
1760.04,313.51,97,20,2,1
2875.44,405.99,80,53,3,0
3666.32,810.22,76,25,1,1
3093.48,239.79,95,77,5,0
1895.14,53.02,100,20,2,0
5148.59,303.6,92,19,5,1
4675.14,489.85,61,40,2,0
2725.97,69.45,78,31,2,0
2027.62,454.81,82,51,3,1
4168.97,1290.12,48,38,1,1
3358.17,0.0,82,41,1,0
1258.27,256.4,100,55,2,1
2880.1,481.0,85,55,4,0
3510.76,882.0,97,80,0,1
1748.56,346.32,78,50,2,1
3361.94,0.0,74,55,4,0
1253.22,13.34,81,63,4,0
6688.06,1367.13,63,29,2,1
6343.19,2247.5,61,62,0,1
2578.23,0.0,94,75,0,0
3731.03,939.69,96,39,2,0
706.56,267.39,60,29,4,0
1499.01,265.39,90,41,0,1
2515.18,710.61,74,36,5,1
1576.7,149.06,80,57,4,0
4605.5,838.64,82,75,0,0
9944.21,0.0,90,57,2,0
1480.89,0.0,76,26,1,1
1815.09,619.7,96,39,5,0
3455.2,180.54,80,64,3,1
7887.52,1038.56,84,40,1,0
1440.78,0.0,63,57,1,0
3483.49,0.0,100,64,3,0
8947.66,1556.22,82,40,0,1
1113.55,100.85,86,61,1,0
1390.93,357.05,51,44,0,1
2326.69,623.28,63,27,3,0
2195.17,544.68,94,42,4,1
4885.02,1151.84,79,47,2,0
3468.1,1514.4,46,18,0,1
1034.21,41.22,91,77,2,0
4087.19,783.76,67,53,5,1
2121.43,784.72,96,20,1,1
6444.85,2511.44,74,76,0,1
2058.67,0.0,78,75,0,0
2047.55,313.58,93,18,4,1
4150.76,1675.74,62,28,0,1
4741.57,1309.68,60,42,3,1
3925.41,900.06,72,51,5,1
1091.17,182.6,87,66,3,0
4143.05,590.09,55,46,2,0
1612.89,392.31,50,58,1,1
3454.85,560.18,87,18,0,0
1276.82,247.21,66,62,0,0
3921.23,830.48,69,79,5,0
1849.01,181.74,47,53,0,0
1389.62,388.84,65,48,0,1
4603.9,2933.31,75,37,4,1
3468.07,0.0,89,81,2,0
2075.55,515.99,63,20,2,0
7165.8,616.05,100,37,4,0
2303.02,660.07,65,27,3,1
3058.35,633.03,65,76,5,0
3525.28,1107.92,98,50,2,0
2068.48,778.42,78,79,4,1
3980.05,910.89,67,62,5,0
2178.29,805.55,73,55,2,1
2343.46,0.0,95,52,1,0
6795.07,2980.1,97,31,5,1
1606.83,411.77,63,55,1,0
705.35,255.11,74,63,0,0
7886.67,134.22,76,82,3,0
13848.95,1044.0,60,54,5,0
2352.43,521.98,74,80,0,1
938.48,185.3,75,81,5,1
2490.1,603.75,92,53,4,1
2526.61,916.34,93,47,5,1
2676.9,0.0,70,27,2,0
1538.15,532.31,72,35,1,1
4247.58,854.79,85,76,3,0
4109.56,696.29,66,27,0,0
1223.81,0.0,84,44,5,0
4563.68,1257.1,74,64,3,0
10280.24,0.0,60,34,2,0
3326.06,988.7,61,83,3,0
2450.32,0.0,97,61,4,0
2754.98,573.09,73,19,3,1
4339.53,790.34,100,34,5,0
1062.06,398.73,67,67,5,1
3310.99,573.47,79,75,5,1
2373.42,227.56,100,80,3,0
9091.2,1127.4,59,75,4,0
2702.31,1056.42,47,23,1,1
8160.82,2288.66,94,66,0,0
1547.08,219.93,63,25,2,1
4267.24,702.1,75,23,5,0
3633.7,0.0,66,64,0,0
1781.02,459.99,79,50,3,1
3336.93,0.0,61,61,1,0
6209.77,1942.23,72,75,2,1
2470.29,541.72,82,22,0,1
1087.01,606.6,60,53,4,0
2968.55,103.84,64,73,4,0
1745.7,322.26,70,47,4,1
2442.95,1147.56,54,53,4,0
2856.68,1081.85,69,51,1,0
1078.12,103.03,77,78,3,0
1137.94,265.82,69,21,0,1
4006.24,802.45,71,76,2,1
2192.37,531.2,75,72,3,0
643.89,61.3,65,72,4,1
4804.34,896.5,85,45,0,1
3532.6,0.0,97,52,4,0
1954.8,430.58,68,42,2,1
1361.4,364.18,82,34,5,1
4953.51,821.72,71,76,3,1
3699.59,0.0,80,51,3,0
12530.6,4364.15,98,66,4,0
3860.22,983.12,83,24,4,0
3785.71,344.87,48,70,0,1
2714.09,428.58,82,62,3,1
4897.27,0.0,93,84,0,0
4365.2,201.62,72,26,2,0
6357.58,758.64,90,54,4,0
2194.2,843.15,65,52,5,0
2310.28,240.44,53,54,1,0
2250.5,666.22,77,21,2,1
4821.54,574.98,49,49,3,0
7371.62,1748.49,71,38,2,1
2278.02,407.29,94,59,1,0
2325.07,769.5,46,33,1,1
3622.12,433.85,56,47,2,0
2588.7,0.0,60,59,3,0
5311.34,0.0,74,22,5,0
776.89,93.4,70,70,3,0
1826.84,23.09,96,65,2,0
1876.04,490.64,89,21,3,0
745.57,97.02,82,22,4,0
1682.75,935.93,77,74,2,1
1732.42,0.0,81,36,2,0
2659.0,613.02,62,75,1,0
5849.71,180.21,88,51,5,0
2589.79,326.29,58,40,5,1
1616.27,357.54,88,36,1,0
2899.21,0.0,93,62,2,1
5630.04,1326.01,78,25,1,1
1670.36,810.85,72,44,5,1
1737.19,229.28,81,41,0,1
4194.36,1002.33,32,28,1,1
2626.6,929.13,80,41,1,0
4424.26,776.05,73,53,3,1
2975.54,335.81,74,63,1,0
4570.44,0.0,86,23,3,0
1612.14,477.43,74,76,4,0
2978.33,545.11,58,76,4,0
2643.75,127.16,73,64,0,0
1446.4,316.75,76,79,0,1
1174.13,132.03,77,46,0,0
4527.01,546.57,77,73,5,1
2430.36,707.1,91,66,3,0
1624.57,0.0,59,55,3,0
2831.78,1011.22,78,30,4,1
5902.78,0.0,94,55,3,0
763.51,76.81,49,78,1,0
1222.17,596.96,78,83,3,1
1724.4,636.48,66,48,4,1
7208.92,1547.33,69,34,0,1
3554.32,209.42,61,68,3,0
4754.08,573.39,72,23,2,0
1513.64,319.36,100,28,0,0
1532.49,315.12,56,55,1,0
3924.74,731.45,57,84,2,1
3106.75,606.98,55,40,2,1
4169.75,699.87,100,47,1,0
2680.52,0.0,68,39,3,0
3544.86,434.33,75,47,2,0
3298.55,1112.25,69,18,2,1
4783.98,0.0,61,57,4,0
4868.65,835.3,71,57,0,0
1135.06,87.44,100,39,2,0
779.0,168.81,96,35,0,0
5472.08,775.42,62,69,5,0
6118.07,2579.43,85,30,1,1
1626.19,448.81,63,21,4,0
982.86,3.17,48,20,1,0
3183.67,957.28,90,77,1,1
5244.16,439.47,92,42,3,0
8821.3,1000.78,91,24,4,0
4089.37,1010.37,68,76,1,0
2400.27,303.01,72,27,1,0
1755.47,586.2,86,40,5,0
3020.68,253.2,81,19,1,0
2506.92,268.64,69,63,1,0
1631.62,165.68,51,64,4,0
10256.03,1181.02,77,68,0,0
8755.77,3194.79,91,35,5,1
5931.29,1745.69,57,39,5,1
1726.51,788.14,85,80,5,1
5010.94,2706.64,80,73,1,0
4403.45,199.88,86,20,0,0
3912.36,823.8,88,64,2,0
6349.72,149.66,65,72,2,0
4392.22,366.13,51,55,5,0
4676.83,493.35,67,60,3,0
4396.27,182.12,88,18,5,0
3680.64,155.39,67,20,4,0
1028.85,183.5,65,20,4,1
3154.36,55.18,48,28,0,1
2148.77,701.18,100,84,0,1
1391.95,86.77,87,60,0,1
8229.31,5113.98,87,70,3,0
8465.59,1119.93,90,37,1,0
6781.14,1429.48,84,80,5,1
3496.42,19.93,71,31,0,0
6746.25,3075.71,73,78,5,1
3021.77,1111.79,69,20,4,1
3388.17,828.53,100,19,0,1
1556.64,0.0,83,23,0,0
3806.87,881.67,68,71,2,1
3110.69,98.87,82,35,2,0
1373.03,575.78,60,48,1,1
2909.25,934.97,98,49,3,0
2859.87,612.92,65,70,0,0
8821.12,0.0,83,41,0,0
5130.18,269.27,91,18,4,1
3020.67,915.76,81,43,5,0
3482.97,1330.26,76,37,1,1
3080.65,1128.67,75,66,5,0
2656.11,0.0,74,68,2,1
1566.99,384.28,66,24,2,1
2740.06,965.4,68,71,0,1
1917.37,0.0,97,22,2,0
1416.83,281.69,73,59,2,1
4076.93,982.85,63,44,3,0
3793.81,587.61,67,38,0,0
1026.94,0.0,92,50,1,0
2787.1,421.26,85,38,2,0
5452.28,822.77,83,71,0,1
5664.09,1007.01,71,82,0,0
5551.76,641.11,84,72,3,0
3070.87,410.11,65,47,5,0
1806.85,350.61,71,51,3,1
1565.79,417.08,90,47,0,0
3689.07,569.36,88,71,5,0
3766.63,521.88,60,55,3,0
6494.86,1388.95,62,49,4,0
5804.31,0.0,77,45,1,0
2771.19,752.53,100,43,3,0
1422.03,284.29,46,55,0,1
2477.25,510.2,79,64,3,0
3417.64,1176.04,54,46,1,1
